人工比例,Acc区间左,Acc区间右,Acc值,F1区间左,F1区间右,F1值,final_left,final_right
0,1.5,1.5,83.47%,1.67,1.67,86.90%,1.5,1.5
0.05,1.5,1.9,85.69%,2,2.32,89.29%,1.5,1.9
0.1,1,1.67,87.66%,1,1.67,89.92%,1,1.67
0.15,1,2,89.00%,1,2,91.32%,1,2
0.2,1,2,89.00%,1.5,2.01,91.85%,1,2
0.25,0.5,2,89.68%,1.5,2.45,92.81%,1,2.25
0.3,1,2.25,92.18%,1,2.25,94.61%,1,2.25
0.35,1,2.5,92.83%,1,2.5,95.20%,1,2.5
0.4,1,2.6,93.85%,1,2.6,96.11%,1,2.6
0.45,1,2.9,94.33%,1,2.9,96.55%,1,2.9
0.5,0.5,2.6,95.18%,0.5,2.6,96.91%,0.5,2.6
0.55,1,3.6,96.75%,1,3.6,98.29%,1,3.6
0.6,0.8,3.4,96.87%,1,4,98.33%,0.9,3.7
0.65,0.5,3.6,98.73%,0.5,3.6,99.34%,0.5,3.6
